volkraj,kstrana,poradi,krouzky,krouzky_pct,mandat
1,4,4,3149,10.91,2
1,13,1,49074,19.54,1
1,13,2,35583,14.17,1
1,13,3,23164,9.22,1
1,13,4,27259,10.85,1
1,13,5,16785,6.68,1
1,13,6,29033,11.56,1
1,13,7,31347,12.48,1
1,13,8,12874,5.12,1
1,13,9,6946,2.76,1
1,13,10,4616,1.83,1
1,13,15,24426,9.72,2
1,17,1,32888,23.14,1
1,17,2,13613,9.57,1
1,17,3,26117,18.37,1
1,17,7,21241,14.94,2
1,17,11,14837,10.44,2
1,17,16,19323,13.59,2
1,20,1,9503,8.67,1
1,20,2,4270,3.89,1
1,20,3,1626,1.48,1
1,20,4,1433,1.3,1
1,20,5,1000,0.91,1
2,4,1,1640,2.97,1
2,4,2,824,1.49,1
2,13,1,22950,11.3,1
2,13,2,12752,6.27,1
2,13,3,30286,14.91,1
2,13,4,9629,4.74,1
2,13,5,6605,3.25,1
2,13,6,7423,3.65,1
2,13,7,8382,4.12,1
2,13,8,7956,3.91,1
2,13,9,3354,1.65,1
2,13,10,4585,2.25,1
2,17,1,59792,43.47,1
2,17,2,10186,7.4,1
2,17,4,27656,20.1,1
2,17,7,25367,18.44,2
2,17,10,14984,10.89,2
2,17,12,19969,14.51,2
2,20,1,22592,12.82,1
2,20,2,7162,4.06,1
2,20,3,5168,2.93,1
2,20,4,8695,4.93,1
2,20,5,5091,2.89,1
2,20,6,2938,1.66,1
2,20,7,3395,1.92,1
2,20,8,2226,1.26,1
3,4,1,1593,5.27,1
3,13,1,8104,8.29,1
3,13,2,7854,8.03,1
3,13,3,5896,6.03,1
3,13,4,6006,6.14,1
3,13,7,6406,6.55,2
3,17,2,7996,17.62,1
3,17,5,7618,16.79,2
3,20,1,3672,4.1,1
3,20,2,2091,2.33,1
3,20,3,1271,1.41,1
3,20,4,1125,1.25,1
3,20,5,1145,1.27,1
4,4,1,1657,5.73,1
4,13,1,11269,14.63,1
4,13,2,6375,8.27,1
4,13,3,6617,8.59,1
4,13,7,4794,6.22,2
4,17,1,8499,21.13,1
4,17,5,8999,22.38,2
4,20,1,3699,4.39,1
4,20,2,1431,1.7,1
4,20,3,2268,2.69,1
4,20,4,931,1.1,1
5,4,1,1750,10.52,1
5,13,1,2693,10.21,1
5,17,2,3562,19.2,2
5,20,1,7242,16.81,1
5,20,3,2872,6.66,2
6,4,1,5575,12.45,1
6,4,2,1409,3.14,1
6,13,1,4884,6.54,1
6,13,2,4183,5.6,1
6,13,3,4655,6.24,1
6,17,1,14646,27.74,1
6,17,3,9227,17.47,2
6,20,1,38277,28.49,1
6,20,2,3328,2.47,1
6,20,3,3613,2.68,1
6,20,4,1956,1.45,1
6,20,5,3759,2.79,1
6,20,6,2160,1.6,1
6,20,7,2363,1.75,1
7,4,1,1460,5.98,1
7,13,1,5595,11.08,1
7,13,3,3916,7.75,2
7,17,1,15479,32.69,1
7,17,3,12266,25.9,2
7,20,1,3277,5.5,1
7,20,2,1648,2.76,1
7,20,3,1045,1.75,1
8,4,1,970,3.63,1
8,13,1,8743,10.38,1
8,13,2,10691,12.7,1
8,13,3,7321,8.69,1
8,13,4,10858,12.9,1
8,17,2,9181,20.6,1
8,17,7,10910,24.48,2
8,20,1,4446,5.59,1
8,20,2,3255,4.09,1
8,20,3,1452,1.82,1
8,20,4,1440,1.81,1
9,4,1,717,2.79,1
9,13,1,5393,6.89,1
9,13,3,13351,17.08,1
9,13,4,7323,9.36,1
9,13,6,6346,8.11,2
9,17,2,6554,16.96,1
9,17,5,6825,17.66,2
9,20,1,3783,5.14,1
9,20,2,2424,3.29,1
9,20,3,4306,5.85,1
10,4,1,917,3.7,1
10,13,1,10096,13.0,1
10,13,2,8596,11.07,1
10,13,3,7153,9.21,1
10,13,5,5712,7.35,2
10,17,2,8074,21.55,2
10,20,1,2805,3.78,1
10,20,2,1734,2.33,1
10,20,3,1852,2.49,1
10,20,4,1158,1.56,1
11,4,1,2284,3.9,1
11,4,2,2409,4.12,1
11,13,1,38515,20.54,1
11,13,2,18801,10.02,1
11,13,3,17911,9.55,1
11,13,4,9894,5.27,1
11,13,5,12611,6.72,1
11,13,6,6419,3.42,1
11,13,7,11519,6.14,1
11,13,8,10361,5.52,1
11,13,10,11173,5.95,2
11,17,2,17091,19.28,1
11,17,7,12537,14.14,2
11,17,10,10337,11.66,2
11,17,12,11603,13.09,2
11,20,1,22968,14.5,1
11,20,2,4036,2.54,1
11,20,3,3172,2.0,1
11,20,4,4040,2.55,1
11,20,5,2377,1.5,1
11,20,6,1967,1.24,1
11,20,7,1966,1.24,1
11,20,8,1280,0.8,1
12,4,1,2881,7.24,1
12,13,1,14254,17.88,1
12,13,2,6618,8.3,1
12,13,4,6748,8.46,1
12,13,7,6579,8.25,2
12,17,1,6461,16.1,1
12,17,5,7855,19.57,2
12,20,1,8466,8.75,1
12,20,2,5182,5.35,1
12,20,3,2768,2.86,1
12,20,4,2732,2.82,1
12,20,6,6497,6.71,2
13,4,1,1921,5.38,1
13,4,2,1299,3.64,1
13,13,1,10440,11.99,1
13,13,2,9463,10.87,1
13,13,3,8416,9.67,1
13,13,6,8163,9.38,2
13,17,2,9076,21.54,1
13,17,4,8267,19.62,2
13,20,1,10853,12.83,1
13,20,2,2256,2.66,1
13,20,3,2948,3.48,1
13,20,22,5010,5.92,2
14,4,1,17069,23.0,1
14,4,2,2488,3.35,1
14,4,3,1477,1.99,1
14,13,1,11943,9.99,1
14,13,2,11045,9.24,1
14,13,3,9192,7.69,1
14,13,4,10044,8.4,1
14,13,5,11596,9.7,1
14,13,8,6607,5.53,2
14,17,4,5671,8.8,2
14,17,10,6225,9.66,2
14,17,14,6293,9.76,2
14,20,1,17985,9.21,1
14,20,2,6481,3.32,1
14,20,3,6080,3.11,1
14,20,4,4110,2.1,1
14,20,5,1539,0.78,1
14,20,6,3322,1.7,1
14,20,7,1003,0.51,1
14,20,8,4379,2.24,1
14,20,9,1442,0.73,1
14,20,10,3367,1.72,1
